Days Harvest Keys,,,,
'FSMAX',-,Maximum ratio of tiller and leaf appearance based on sward geometry (must be < 1),,
'HAGERE',-,Parameter for proportion of stem harvested,,
'HARVFRD',-,Relative harvest fraction of CLVD,,
'Hparam',Â°C-1 d-1,Hardening parameter,,
'KBASAL',?,Constant at half basal area,,
'KCRT',gC m-2,Root mass at which ROOTD is 67% of ROOTDM,,
'KLAI',m2 m-2 leaf,PAR extinction coefficient,,
'KLUETILG',-,LUE-increase with increasing fraction elongating tillers,,
'KRDRANAER',d-1,Maximum relative death rate due to anearobic conditions,,
'KRESPHARD',gC gC-1 Â°C-1,Carbohydrate requirement of hardening,,
'KRSR3H',Â°C-1,Constant in the logistic curve for frost survival,,
'LAICR',m2 leaf m-2,LAI above which shading induces leaf senescence,,
'LAIEFT',m2 m-2 leaf,Decrease in tillering with leaf area index,,
'LAITIL',-,Maximum ratio of tiller and leaf apearance at low leaf area index,,
'LDT50A',d,Intercept of linear dependence of LD50 on lT50,,
'LDT50B',d Â°C-1,Slope of linear dependence of LD50 on LT50,,
'LERGA',Â°C,Leaf elongation intercept generative,,
'LERGB',mm d-1 Â°C-1,Leaf elongation slope generative,,
'LERVA',Â°C,Leaf elongation intercept vegetative,,
'LERVB',mm d-1 Â°C-1,Leaf elongation slope vegetative,,
'LFWIDG',m,Leaf width on elongating tillers,,
'LFWIDV',m,Leaf width on non-elongating tillers,,
'LOG10CLVI',gC m-2,log10 of Initial value of leaves,,
'LOG10CRESI',gC m-2,log10 of Initial value of reserves,,
'LOG10CRTI',gC m-2,log10 of Initial value of roots,,
'LOG10LAII',m2 m-2,Initial value of leaf area index,,
'LSHAPE',-,Area of a leaf relative to a rectangle of same length and width (must be < 1),,
'LT50I',Â°C,Initial value of LT50,,
'LT50MN',Â°C,Minimum LT50 (Lethal temperature at which 50% die),,
'LT50MX',Â°C,Maximum LT50,,
'NELLVM',tiller-1,Number of elongating leaves per non-elongating tiller,,
'PHENCR',-,Phenological stage above which elongation and appearance of leaves on elongating tillers decreases,,
'PHENI',-,Initial value of phenological stage,,
'PHY',Â°C d,Phyllochron,,
'RATEDMX',Â°C d-1,Maximum dehardening rate,,
'RDRHARVMAX',d-1,Maximum relative death rate due to harvest,,
'RDRROOT',d-1,Relatuive death rate of root mass CRT,,
'RDRSCO',d-1,Increase in relative death rate of leaves and non-elongating tillers due to shading per unit of LAI above LAICR,,
'RDRSMX',d-1,Maximum relative death rate of leaves and non-elongating tillers due to shading,,
'RDRSTUB',-,Relative death rate of stubble/pseudostem,,
'RDRTEM',d-1 Â°C-1,Proportionality of leaf senescence with temperature,,
'RDRTILMIN',d-1,Background relative rate of tiller death,,
'RDRTMIN',d-1,Minimum relative death rate of foliage,,
'RDRWMAX',d-1,Maximum death rate due to water stress,,
'reHardRedDay',d,Duration of period over which rehardening capability disappears,,
'RGENMX',d-1,Maximum relative rate of tillers becoming elongating tillers,,
'RGRTG1G2',d-1,Relative rate of TILG1 becoming TILG2,,
'ROOTDM',m,Initial and maximum value rooting depth,,
'RRDMAX',m d-1,Maximum root depth growth rate,,
'RUBISC',g m-2 leaf,Rubisco content of upper leaves,,
'SIMAX1T',gC tiller-1 d-1,Sink strength of small elongating tillers,,
'SLAMAX',m2 leaf gC-1,Maximum SLA of new leaves (Note unusual units),,
'TBASE',Â°C,Minimum value of effective temperature for leaf elongation,,
'TCRES',d,Time constant of mobilisation of reserves,,
'THARDMX',Â°C,Maximum surface temperature at which hardening is possible,,
'TILTOTI',m-2,Initial value of tiller density,,
'TOPTGE',Â°C,Optimum temperature for vegetative tillers to become generative (must be > TBASE),,
'TRANCO',mm d-1 g-1 m2,Transpiration effect of PET,,
'TRANRFCR',-,Critical water stress for tiller death,,
'TsurfDiff',Â°C,Constant in the calculation of dehardening rate,,
'TVERN',Â°C,Temperature below which vernalisation advances,,
'TVERND',d,Days of cold after which vernalisation completed,,
'TVERNDMN',d,Minimum vernalisation days,,
'VERNDI',d,Initial value of cumulative vernalisation days,,
'YG',gC gC-1,Growth yield per unit expended carbohydrate (must be < 1),,
,,,,
Outputs,,,,
varname,units,description,,
'BASAL',(%),Basal Area,,
'CLV',(gC m-2),Leaf C,,
'CLVD',(gC m-2),Dead Leaf C,,
'CRES',(gC m-2),Reserve C,,
'CRT',(gC m-2),Root C,,
'CST',(gC m-2),Stem C,,
'CSTUB',(gC m-2),Stubble C,,
'DAVTMP',(degC),Av. Temp.,,
'DAYL',(-),Daylength,,
'DAYLGE',(-),Daylength Fact.,,
'DEBUG',(?),Debug,,
'DM',(kg DM ha-1),Ryegrass Mass Note that this is after any harvest (e.g. at end of time stamp),,
'DM_RYE_RM',(kg DM ha-1),dry matter of Rye species harvested in this time step Note that this is the calculated removal but if 'opt_harvfrin' = False then it may be significantly different to the actual removal which is show by the appropriate yeild variable,,
'DM_WEED_RM',(kg DM ha-1),dry matter of weed species harvested in this time step; Note that this is the calculated removal but if 'opt_harvfrin' = False then it may be significantly different to the actual removal which is show by the appropriate yeild variable,,
'DMH',(kg DM ha-1),harvestable dry matter = DMH_RYE + DMH_WEED note that this is before any removal by harvesting,,
'DMH_RYE',(kg DM ha-1),harvestable dry matter of rye species includes harvestable fraction of dead (HARVFRD) note that this is before any removal by harvesting,,
'DMH_WEED',(kg DM ha-1),harvestable dry matter of weed specie includes harvestable fraction of dead (HARVFRD) note that this is before any removal by harvesting,,
'doy',(d),Day of Year,,
'DRAIN',(mm d-1),Drainage,,
'DTILV',(till m-2 d-1),Till. Death,,
'EVAP',(mm d-1),Evap.,,
'FS',(till leaf-1),Site Filling,,
'GRT',(gC m-2 d-1),Root Growth,,
'GTILV',(till m-2 d-1),Till. Birth,,
'HARVFR',(-),Harvest Frac.,,
'HARVFRIN',(-),Harvest Data,,
'IRR_TARG',fraction,irrigation Target (fraction of field capacity) to fill to also an input variable,,
'IRR_TRIG',fraction,irrigation trigger (fraction of field capacity at which to start irrigating,,
'IRRIG',mm d-1,Irrigation applied,,
'IRRIG_DEM',mm,irrigation irrigation demand to field capacity * IRR_TARG,,
'LAI',(m2 m-2),LAI,,
'LERG',(m d-1),Gen. Elong. Rate,,
'LERV',(m d-1),Veg. Elong. Rate,,
'LINT',(-),Light Intercep.,,
'LT50',(degC),Hardening,,
'MXPAW',mm,maximum Profile available water,,
'PAW',mm,Profile available water at the time step,,
'PHEN',(-),Phen. Stage,,
'PHENRF',(-),Phen. Effect,,
'PHOT',(gC m-2 d-1),Photosyn.,,
'RAIN',(mm d-1),Rain,,
'RDLVD',(d-1),Decomp. Rate,,
'RDRL',(d-1),Leaf Death Rate,,
'RDRTIL',(d-1),Till. Death Rate,,
'RES',(g g-1),Reserve C,,
'RESEEDED',,reseeded flag if ==1 then the simulation was reseeded on this day,,
'RESMOB',(gC m-2 d-1),Res. Mobil.,,
'RGRTV',(d-1),Till. App. Rate,,
'RLEAF',(d-1),Leaf App. Rate,,
'ROOTD',(m),Root Depth,,
'RUNOFF',(mm d-1),Runoff,,
'RYE_YIELD',(tDM ha-1),PRG Yield from rye grass species note that this is the actual amount of material that has been removed,,
'SLA',(m2 gC-1),Spec. Leaf Area,,
'SLANEW',(m2 gC-1),New SLA,,
'TILG1',(m-2),Gen. Tillers,,
'TILG2',(m-2),Elong. Tillers,,
'TILTOT',(m-2),Total Tillers,,
'TILV',(m-2),Veg. Tillers,,
'Time',(y),Time,,
'TRAN',(mm d-1),Trans.,,
'TRANRF',(%),Transpiration,,
'TSIZE',(gC tiller-1),Tiller Size,,
'VERN',(%),Vernalisation,,
'VERND',(d),Vern. Days,,
'WAFC',mm,Water in non-frozen root zone at field capacity,,
'WAL',(mm),Soil Water,,
'WAWP',mm,Water in non-frozen root zone at wilting point,,
'WCL',(%),Eff. Soil Moisture,,
'WCLM',(%),Soil Moisture,,
'WEED_YIELD',(tDM ha-1),PRG Yield from weed (other) species note that this is the actual amount of material that has been removed,,
'year',(y),Year,,
'YIELD',(tDM ha-1),PRG Yield sum of YIELD_RYE and YIELD_WEED,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
